 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
9, 278, 573, 2198, 1437, 1768, 6412, 4548, 4616, 9371, 34000, 34185, 324819, 94144, 109865, 369117, 250510, 193230, 477936, 37400708, 919806, 2426064, 59092633, 1847729, 4314701, 87365444, 2368418, 6440433, 65239035, 1517150, 4392715, 6896276, 15172491, 19734690, 8505254, 18516915, 25182982, 11013722, 23737537, 32679297, 56956680, 8045400, 20456972, 87463096, 10145322, 28053345, 99280340, 13087312, 33994774, 567823, 2961261, 2933493, 1201832, 5449517, 5459296, 1824959, 12518358, 11147815, 185775, 221830, 285022, 253895, 702315, 405315, 411982, 500389, 589133, 476142, 673611, 1324884, 1060239, 1264573, 3060828, 1798667, 2301264, 4457489
10, 274, 580, 2250, 1395, 1748, 7516, 4487, 4762, 10220, 33947, 34302, 615599, 108481, 78666, 310853, 323812, 195865, 380581, 35832646, 987880, 2642225, 60104763, 1481188, 4848000, 90912033, 2359636, 8175690, 66927465, 1527618, 4646708, 6624905, 13596513, 18693243, 8932118, 18341690, 26375782, 11177644, 22183216, 30387908, 56924097, 8126888, 20936941, 86684622, 9933900, 28262635, 101374289, 14053058, 33943401, 517624, 2752177, 2881147, 1511871, 5441173, 5375708, 1922800, 12058136, 11621515, 165728, 216551, 254328, 245884, 361462, 425603, 404995, 575331, 575698, 601018, 677080, 1474895, 1189365, 1259152, 2463662, 1688952, 2383780, 4577401
11, 280, 587, 2227, 1639, 2846, 8051, 4471, 4580, 9604, 35139, 37339, 430314, 76935, 73466, 355350, 200358, 241852, 309845, 34556673, 769436, 2762739, 61116343, 1507070, 4279672, 90389868, 2261222, 6418542, 65496902, 1474851, 4666823, 6611422, 14244495, 20182963, 9079473, 18963906, 26521833, 10706693, 23843439, 30742878, 57653653, 7975144, 18911053, 78379067, 10245689, 25164097, 97582726, 12622179, 33128437, 700472, 3232594, 2696557, 1115234, 5387767, 5121756, 1952683, 12606479, 12124354, 150770, 225521, 236362, 232705, 324376, 416790, 425557, 479961, 635172, 538491, 761457, 1253935, 1018777, 1406362, 2784094, 11200364, 2097383, 4528696
12, 273, 564, 2687, 2061, 1638, 6436, 4322, 4395, 9425, 33933, 34215, 335645, 95805, 107524, 374710, 170541, 175221, 359303, 35942250, 919391, 2486053, 59205743, 1794041, 4279032, 89498558, 2434925, 6107513, 63970603, 1513715, 4370746, 6371853, 13965198, 18635243, 8735364, 18145704, 25899594, 11127585, 22668531, 32708286, 58463181, 7624796, 19321700, 82505428, 10531339, 25867870, 100148133, 12720815, 35125416, 573021, 3372339, 2884765, 971199, 5328791, 5928114, 2549533, 13367268, 11613211, 148040, 238575, 276179, 268848, 343057, 391805, 393854, 538106, 629578, 488897, 862122, 1639073, 1160736, 1196349, 2824256, 1822923, 2113271, 4429270
13, 273, 564, 2321, 1492, 2790, 6845, 4361, 4651, 9271, 57083, 36802, 342505, 99329, 79761, 346950, 189188, 153213, 379455, 34086866, 925388, 2425626, 63276880, 1509461, 3897531, 84329397, 2363823, 6595360, 66957890, 1481823, 4260589, 7921122, 14094245, 19256364, 9158966, 19199078, 25718163, 12317217, 24075352, 30296416, 59111481, 9463105, 23143902, 83049077, 10599347, 28010773, 100400210, 12668555, 34577459, 678070, 2783317, 2643536, 1136546, 5466618, 5835189, 1972213, 12570286, 11535500, 133253, 233747, 245975, 306137, 352148, 418587, 385833, 524144, 672381, 503774, 605840, 1449870, 1086694, 1417041, 2870078, 1744955, 2056123, 4679515
14, 280, 578, 2196, 1540, 1657, 6470, 4349, 4450, 9453, 37674, 37561, 367983, 110170, 77641, 400470, 156074, 187650, 349024, 34681404, 956218, 2710525, 61170703, 1477852, 4730387, 86122477, 2394769, 5949219, 66177315, 1479029, 4594392, 6312653, 13401980, 20291759, 10113664, 17737232, 27438017, 11186641, 23838688, 33308542, 61263284, 7811444, 19001917, 78413024, 10537907, 25218893, 103853039, 13554926, 32538674, 518075, 2733343, 3041833, 1160996, 5957314, 5013471, 2005692, 11715923, 11041729, 168029, 239692, 277006, 287989, 347386, 413091, 573624, 560773, 629903, 461796, 697836, 1503554, 1055337, 1393913, 2694943, 1850276, 2060390, 4330606
15, 273, 558, 2194, 1591, 1619, 6616, 4428, 4440, 9595, 537902, 50297, 319082, 81290, 106094, 397725, 199748, 174220, 398902, 36779198, 968799, 2478096, 60381972, 1580657, 4274070, 87005977, 2458298, 6137962, 65249867, 1557447, 4345089, 6655982, 13782825, 18911494, 8630453, 17282259, 26365479, 11179534, 23409410, 32413423, 59099239, 7834828, 20655375, 78584322, 10226320, 26422159, 100178613, 12706107, 34416560, 518162, 2908578, 2731757, 1069645, 6314402, 6536938, 1872672, 12273571, 11845489, 168415, 190657, 270800, 276521, 330974, 394681, 470371, 556182, 627863, 2698672, 701531, 1501220, 1019761, 1363208, 2648597, 1822118, 2172335, 4409197
16, 266, 569, 2234, 1380, 1676, 6527, 4332, 4440, 9255, 36667, 64919, 456406, 87155, 113960, 312969, 207954, 246883, 304618, 35139157, 760532, 2346916, 57915313, 1464777, 4236286, 91158551, 2368424, 7098338, 65733231, 1552165, 4771775, 6850879, 14743328, 19856167, 9087317, 18058732, 26284717, 11569390, 22798826, 32645281, 57717334, 8058562, 20279929, 79092347, 11521978, 24685932, 103184366, 12532964, 35636191, 490416, 3119803, 2980326, 1368979, 5926837, 5770963, 2126654, 12591357, 11446216, 153398, 238526, 276941, 335230, 394134, 394062, 468528, 522812, 599316, 509162, 821202, 1581922, 1112849, 1235777, 2539437, 1917324, 2219445, 4760494
17, 266, 581, 2272, 1346, 1620, 9081, 4281, 4381, 9317, 48365, 66485, 362402, 93574, 76446, 511581, 151617, 152512, 323378, 36749928, 870292, 2232593, 61925256, 1549635, 4430643, 91355154, 2560963, 6387317, 63057361, 1463500, 4299082, 7648904, 13642773, 20024653, 10830397, 17555195, 25547540, 11396868, 26725329, 34650256, 58198938, 7388957, 21336911, 78740989, 9951897, 26497594, 100957872, 12324187, 34532250, 571640, 2793440, 2973506, 1026108, 5588875, 5293284, 1821889, 11842356, 11326469, 157646, 252406, 262783, 262949, 300989, 423208, 467853, 508598, 674565, 633520, 725269, 1529222, 1004183, 1172865, 2395070, 2166586, 1969073, 4261138
18, 281, 566, 2215, 1422, 1679, 6482, 4599, 4470, 9286, 34019, 35687, 375168, 76795, 92676, 447416, 153532, 173275, 388005, 34148673, 837621, 2274077, 61410342, 1523426, 5124226, 91585059, 2421047, 5696328, 62631082, 1674493, 4627194, 6633122, 14220990, 19693374, 8829008, 17924939, 26076959, 11173017, 22719529, 32546439, 89093590, 7972753, 19665840, 84049051, 10472447, 26907267, 99098523, 12672079, 32224090, 577997, 3012683, 2776606, 1031284, 6085118, 5488989, 1905168, 11355883, 11156340, 214850, 235657, 269219, 270909, 417274, 368582, 445812, 548409, 665046, 518487, 783789, 1813026, 1148285, 1408662, 2862662, 1691663, 1984307, 4384042
