case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,83431038,9338617,25545348
1,87222899,10194103,28826999
2,90060940,11171371,27716621
3,82117116,9499870,25771591
4,82261805,11927408,27798758
5,87201558,9711265,25788548
6,81232263,10950520,25491637
7,84136336,10580664,27804364
8,83288974,9801218,26403302
9,87463096,10145322,28053345
10,86684622,9933900,28262635
11,78379067,10245689,25164097
12,82505428,10531339,25867870
13,83049077,10599347,28010773
14,78413024,10537907,25218893
15,78584322,10226320,26422159
16,79092347,11521978,24685932
17,78740989,9951897,26497594
18,84049051,10472447,26907267
19,79336677,10695574,27491474
20,82179194,10138556,27733574
21,79221708,10246603,25479557
22,85917380,11499460,25631917
23,77003221,12193792,26635981
24,85274597,9961511,28050505
25,87693945,10550055,26490202
26,83272832,11276802,27331290
27,81064538,10101131,27363597
28,78684956,9889066,27017955
29,79747878,9945581,28705920
30,88604762,10233521,29273140
31,83125786,10918916,27089000
32,82585335,10796067,27717700
33,81471274,10709408,26648445
34,78446654,9964453,27149754
35,79803104,10240987,27345351
36,83489787,10340084,25801530
37,79834522,10572905,27071334
38,81325467,9940543,27741771
39,79799147,10351908,27874182
40,79918112,10252534,30268729
41,84151094,8769935,28486741
42,82530963,9744540,28280307
43,84263751,10239285,26291648
44,87568072,8921147,28032777
45,82660307,9840383,28505950
46,84865938,10816943,25482257
47,84754669,10323226,27377197
48,82779068,8588658,27724429
49,87034477,9769877,26935570
50,75127318,9785749,27703652
51,86073053,9608851,26419863
52,80594412,10989680,28531982
53,78071503,10181359,26072495
54,79977343,10561900,33088385
55,93002130,11570124,29302374
56,79450021,11305906,27405323
57,82345257,10348188,25863014
58,80992662,10353486,26151896
59,82912296,9681795,29224923
60,77352465,10398172,27281430
61,78711959,10011443,25339270
62,79855045,10334831,26849139
63,75665250,10841157,26600559
64,81076136,10930983,25147296
65,75361101,10587072,24774768
66,82056123,9995113,26278055
67,88423176,10785460,26085216
68,82232510,10026380,25238171
69,89288643,10289762,27303066
70,77625222,10269662,26942389
71,79816589,10621340,27565994
72,80966742,10268263,25663603
73,77368351,11486138,25738731
74,80519828,10956798,26376448
75,79461471,10721911,25677675
76,79754936,10092062,26909529
77,78537708,10331446,26516935
78,76683068,10646348,25554424
79,76933746,10192917,27205114
80,77005277,9782204,26609696
81,77348884,10260136,25522741
82,76885845,10249684,25049187
83,79904962,9915857,26091405
84,79825189,10003505,25094442
85,78490142,11377114,26307131
86,78006156,10569328,25353161
87,78278945,10308853,26264826
88,76819948,11010024,26383126
89,79003259,10451318,27582349
90,78899724,10336921,26755207
91,79817211,10099326,28284870
92,80369088,10079147,27618305
93,78601190,9874658,29171398
94,82078984,10195184,27653953
95,78993127,10338852,26469123
96,78182599,10120431,26734627
97,78541547,10026165,28338158
98,79785546,10110706,26629563
99,79681142,9166324,26547263
