case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,12434411,22148155,31998983
1,12822532,21732350,32012860
2,11561473,23008703,35182744
3,11020126,23640751,33188834
4,12466259,22711531,32103970
5,11342071,23141303,30737685
6,10586124,22911069,34141043
7,11508867,22880076,32445058
8,10960815,23194443,33237168
9,11013722,23737537,32679297
10,11177644,22183216,30387908
11,10706693,23843439,30742878
12,11127585,22668531,32708286
13,12317217,24075352,30296416
14,11186641,23838688,33308542
15,11179534,23409410,32413423
16,11569390,22798826,32645281
17,11396868,26725329,34650256
18,11173017,22719529,32546439
19,10657934,22690272,31904769
20,11615738,22914029,34594627
21,11049421,24831854,34974582
22,11664868,22414166,35641494
23,11473143,23295507,34984008
24,10998793,23487863,34174614
25,11212126,22977228,33321920
26,11609649,22622481,33080352
27,10485375,22794108,33280064
28,11026917,21692010,33575840
29,12564842,25289552,33603782
30,10976154,23258993,34019033
31,10740691,22616872,33471378
32,13881414,23503255,33260733
33,11312741,24222558,34910494
34,11080376,23069376,34516829
35,10992527,22677112,34561506
36,11580865,23154766,35223144
37,11675997,22250288,33153997
38,13219275,23081000,32706172
39,10918077,22769821,33745920
40,10831198,22607131,33575343
41,11546219,22545638,33239898
42,10922928,22371564,33445798
43,11041932,22907842,35016059
44,12055281,22613733,33252932
45,10698532,22646711,33065541
46,11037819,22328096,36429168
47,11095596,22648711,32638373
48,10536099,23129481,32948601
49,10369907,22476752,33628329
50,11483671,23841552,35555217
51,12368510,22174485,33665813
52,10686963,22374387,34399559
53,11236720,23529170,33518638
54,11468735,22913539,33786760
55,10690095,24522650,34106556
56,11530040,23291735,33111962
57,11015789,22593399,35621018
58,11808190,24335014,33345576
59,12739433,22683065,30952312
60,12097738,23257261,31373437
61,10620929,24222596,32917165
62,11458075,21436327,31427986
63,11168676,23493644,31742860
64,10716547,22485997,32440218
65,10940572,24369745,35139618
66,11377487,23511992,32529493
67,11037147,22424085,32755621
68,11634275,23169915,32292845
69,11433521,23055841,33663622
70,11309912,22175938,31622972
71,11025828,24645139,31843839
72,11785066,23689760,34956730
73,11485917,23335662,33136008
74,11673580,22113134,31570165
75,11194475,23594369,31828686
76,10551653,22927002,33001943
77,10895786,23338730,31226172
78,10668245,23200224,34079248
79,10276718,21441875,32762845
80,12126459,24753692,35239974
81,12604804,23139591,33910561
82,11013638,22869791,33695870
83,11369387,23276310,32812781
84,12977716,23107086,33495176
85,10718340,23328643,36266391
86,12805416,23305129,32964668
87,11776885,23997641,35114620
88,11031338,22223710,33136300
89,10738838,22747414,32852930
90,11132890,22600327,36118539
91,11151982,22662155,33279378
92,11261798,22156424,31960783
93,11575395,23390140,32044334
94,10329350,21588360,34851835
95,11731085,25207516,33792026
96,10821211,23147979,34152936
97,10689673,22244918,33347801
98,11483993,22283306,33879619
99,10967682,23296991,32128576
