case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,1218872,3155148,2877563
1,716313,3059008,2990749
2,510627,2731033,2936571
3,516234,3908532,2930079
4,561312,2894043,2971888
5,539479,3289687,2765071
6,561725,3054569,2804729
7,596693,3068401,2985548
8,551041,2804696,2916477
9,567823,2961261,2933493
10,517624,2752177,2881147
11,700472,3232594,2696557
12,573021,3372339,2884765
13,678070,2783317,2643536
14,518075,2733343,3041833
15,518162,2908578,2731757
16,490416,3119803,2980326
17,571640,2793440,2973506
18,577997,3012683,2776606
19,509053,3509148,2732109
20,515487,3003572,2991951
21,696682,2972867,2771489
22,602387,2934637,2870515
23,596996,2961906,3051984
24,526664,3094755,3736260
25,632297,2904273,3005184
26,518144,2673623,3444313
27,741458,2824228,3065834
28,516883,3037894,3292354
29,520127,3410231,2845564
30,569560,2963093,2838804
31,562432,2930548,2982111
32,529950,3119498,2872117
33,702259,2818769,2957260
34,545699,2838787,3038947
35,601186,2761928,2963850
36,495710,2692337,3029310
37,518605,3069278,3127479
38,583225,2831789,2996918
39,561553,2881477,2858568
40,517067,2863426,3105741
41,615523,3020752,2818725
42,528462,2939931,2948737
43,507885,3073771,2803852
44,534419,2965444,2723173
45,488576,2763067,2792705
46,732123,3067654,2759586
47,636189,2971429,2755592
48,490520,2778904,2773027
49,560754,2676457,3284283
50,518621,2791295,3019506
51,603086,2816646,2844729
52,518858,3250576,3095359
53,492618,2928316,2773258
54,507101,2819262,2866949
55,516578,2743456,3026216
56,599382,3240938,3052234
57,520675,2774094,2987205
58,530136,3174801,2687659
59,534128,2804173,3270266
60,517665,2980510,2975242
61,528167,2759620,2889516
62,567115,2774315,2770283
63,515810,3089521,2819645
64,613090,3054674,2647380
65,572250,3014993,2813105
66,838474,3082184,3020993
67,569434,2809781,2939690
68,517132,3805130,2859815
69,608246,2774470,2850652
70,880644,3132612,2863526
71,594467,2683336,2715382
72,595788,2859675,2866123
73,728505,2996849,2682337
74,553164,2657637,2813126
75,518049,2984720,2662702
76,492796,2778073,2682475
77,562546,2988534,2730504
78,490501,3050382,2806207
79,530788,2876994,2946187
80,493613,2719000,2690397
81,507103,2595769,2707983
82,581958,2767006,2869251
83,517641,2984393,2823564
84,516056,2841320,2866690
85,587311,2675179,2978730
86,493463,2822601,2706947
87,534023,2947130,3007607
88,502587,2985371,2903428
89,544308,2818666,2954321
90,490432,2782565,2636299
91,490783,2785329,2771290
92,522217,2803818,2854028
93,598222,2739472,3168715
94,531790,2775991,2751712
95,576973,2708590,2613898
96,574961,3055765,2908355
97,535068,2981267,2988090
98,594421,2970248,2820889
99,517148,2828290,3404620
