case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,95636278,2264733,6295917
1,90780837,2343573,6069696
2,89360275,2242222,6026831
3,89209947,2057097,5952380
4,87063176,2139518,7963017
5,90472468,2350113,6492540
6,92386779,2219880,5986251
7,88264786,2408192,6266807
8,91489302,2357242,6282682
9,87365444,2368418,6440433
10,90912033,2359636,8175690
11,90389868,2261222,6418542
12,89498558,2434925,6107513
13,84329397,2363823,6595360
14,86122477,2394769,5949219
15,87005977,2458298,6137962
16,91158551,2368424,7098338
17,91355154,2560963,6387317
18,91585059,2421047,5696328
19,87265387,2332858,6134056
20,91886179,2253282,6575179
21,91038464,2381247,6428315
22,89788740,2304770,6771687
23,86414169,2361356,6178286
24,87852914,2398922,6231782
25,86967790,2389723,6109275
26,88858412,2228907,6351231
27,88744764,2302001,6229065
28,89478010,2143429,5762128
29,87577526,2262653,5800997
30,86340254,2299700,6228467
31,87586529,2187643,6358701
32,90713703,2343738,5625181
33,88276709,2335668,5646511
34,86550844,2343635,5407374
35,88060801,2301928,6209209
36,90016897,2479288,6082648
37,94360268,2450257,6303991
38,87524705,2385724,6251282
39,85996641,2304871,6445467
40,86426623,2411443,6464584
41,88200353,2343761,6316024
42,91174589,2345223,6333457
43,88947561,2305857,6215709
44,87972592,2400555,5831724
45,88400436,2304638,6342921
46,87500833,2493364,6067929
47,91059068,2372196,6175417
48,86817813,2390403,6198263
49,90206876,2508468,5721305
50,86958806,2375959,6176464
51,88328396,2319760,6144068
52,89733399,2410681,6171686
53,88149102,2373466,5850648
54,87093974,2183821,6068594
55,87594709,2263760,6098152
56,90554914,2362072,7275996
57,88894601,2447163,6056364
58,87822677,2222984,6052185
59,88911552,2364770,6046747
60,87574101,2391799,6091130
61,86481874,2423444,5774760
62,87654671,2977772,6388609
63,89250288,2526586,6255679
64,87751636,2374060,5890360
65,85992735,2389921,6092370
66,86597393,2334897,5988206
67,88083802,2333594,6088480
68,87538667,2237717,5782930
69,86685468,2231630,6406728
70,87992172,2277910,5814778
71,87213757,2416038,5517465
72,88254176,2236471,6088799
73,91806044,2456337,6560463
74,89179226,2373693,6361427
75,86368841,2337931,6250338
76,84056439,2269411,6262401
77,86067242,2437497,7762063
78,91245036,2395675,5809970
79,86314303,2112267,5838790
80,90270422,2476742,5946787
81,89596972,2087133,5969278
82,89507657,2191133,5958518
83,90478745,2424321,7127062
84,86662389,2166547,6021108
85,87161319,2344038,6627686
86,87711242,2372581,6269517
87,86806299,2358410,6110483
88,89852945,2380587,6046171
89,87575460,2414309,6676084
90,90605174,2299582,6223303
91,87043892,2292815,6167711
92,87961579,2150411,5954823
93,90695542,2234942,6469431
94,90012966,2385639,6098074
95,88530924,2390888,5618072
96,86731891,2290039,5848387
97,88457322,2146705,5696539
98,88017122,2262972,5916472
99,89902452,2238267,5736618
