case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,232768,177800,294859
1,198656,163376,3884503
2,211354,196576,304865
3,177969,188700,386567
4,155543,176805,435975
5,170675,188830,374773
6,162681,164017,408207
7,227934,190743,387929
8,228478,193574,512830
9,250510,193230,477936
10,323812,195865,380581
11,200358,241852,309845
12,170541,175221,359303
13,189188,153213,379455
14,156074,187650,349024
15,199748,174220,398902
16,207954,246883,304618
17,151617,152512,323378
18,153532,173275,388005
19,164921,188967,308959
20,152493,152355,386078
21,189795,190775,402613
22,153195,151908,306950
23,192110,172386,366016
24,155347,258471,394739
25,195386,163115,355242
26,167380,156463,395231
27,172920,174598,350712
28,243086,175380,334708
29,190873,175908,378623
30,191664,178062,362970
31,160861,172210,487101
32,195341,173364,427005
33,190302,192404,447269
34,217217,190870,430051
35,182218,221079,391134
36,195618,203796,447994
37,241675,235262,407455
38,200488,190062,438081
39,168939,184216,428979
40,189449,194359,363600
41,159390,158880,348827
42,158092,173718,400798
43,174285,157217,355674
44,153457,194421,380386
45,158608,157540,317440
46,168825,185391,313877
47,158083,159205,361455
48,160057,156692,322302
49,191067,231401,442046
50,252347,296883,325373
51,168051,210413,348815
52,156666,177195,335611
53,153514,151557,386274
54,185358,166534,380221
55,204860,178930,325078
56,162923,187846,372082
57,156820,189803,343926
58,171648,155954,334288
59,171736,172169,326063
60,193579,159267,358189
61,151766,158524,371049
62,179980,207997,420279
63,292401,207438,358986
64,179347,205780,419543
65,168642,295729,329996
66,185302,188154,355794
67,188059,175403,353420
68,163089,160862,325700
69,186390,212847,325634
70,164299,246885,348726
71,158474,197255,551623
72,260224,206919,332312
73,157713,152180,340420
74,164123,158704,490360
75,233290,153576,302966
76,154374,216265,440314
77,197902,185033,308716
78,153162,163679,336104
79,174567,151548,303683
80,159361,204457,319424
81,175077,195334,392762
82,188463,152002,305021
83,166175,151032,359872
84,192822,258993,308571
85,151255,154888,319522
86,168116,184519,321917
87,180647,154242,410047
88,193783,180570,375005
89,199630,194830,434326
90,155257,153927,402962
91,189996,200522,321830
92,182097,167433,316088
93,166901,178510,354357
94,149997,149454,331222
95,161415,150429,332567
96,179747,189916,303221
97,150609,155465,366626
98,174484,167505,358240
99,198752,223542,395210
