case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,4437,2037,7342
1,1650,1930,6829
2,1581,1803,6699
3,1495,1871,6576
4,1395,1744,6579
5,1411,1688,6526
6,1389,1596,6598
7,1421,1620,6601
8,1418,1633,6960
9,1437,1768,6412
10,1395,1748,7516
11,1639,2846,8051
12,2061,1638,6436
13,1492,2790,6845
14,1540,1657,6470
15,1591,1619,6616
16,1380,1676,6527
17,1346,1620,9081
18,1422,1679,6482
19,1412,1697,6540
20,1380,1570,6444
21,1365,1911,6313
22,1611,1588,6555
23,1420,1530,24894
24,1417,1620,6512
25,1449,1549,6340
26,1557,1585,24756
27,1390,1580,30855
28,1373,1539,6259
29,1313,1581,6182
30,1372,1516,6318
31,1328,1523,6157
32,1339,1525,6138
33,1373,1514,6165
34,1370,1582,6184
35,1297,1527,6110
36,1372,1556,6219
37,1450,1524,6181
38,1439,1529,6379
39,1424,1567,6384
40,1411,1576,6406
41,1372,1690,6439
42,1453,1546,6666
43,1486,1598,6460
44,1342,1555,6654
45,1370,1558,6339
46,1365,1580,6534
47,1448,1541,6452
48,1509,1537,6706
49,1507,1562,6339
50,1362,1586,6268
51,1444,1577,6565
52,1408,1566,6332
53,1349,1554,6155
54,1298,1546,6426
55,1506,1586,6351
56,1405,1564,6330
57,1393,1560,6516
58,1384,1582,6314
59,1308,1559,6432
60,1338,1579,6384
61,1329,1573,6371
62,1351,1556,6353
63,1311,1582,6432
64,1330,1592,19586
65,1372,1629,6248
66,1328,1574,6466
67,1383,1632,24961
68,1476,1554,19376
69,1297,1563,6398
70,1386,1565,6339
71,1314,1574,6439
72,1378,1602,6276
73,1371,1635,6345
74,1861,1796,6384
75,1390,1556,6542
76,1409,1564,6468
77,1339,1634,6346
78,1322,1647,6622
79,1332,1659,6266
80,1259,2009,6314
81,1384,1541,6401
82,1272,1518,6453
83,1425,1521,6365
84,1368,1517,6559
85,1342,1690,6701
86,1431,2437,6212
87,1833,1720,6317
88,2398,1784,6283
89,1431,1523,6456
90,1306,1835,6412
91,1405,21832,6541
92,1275,1497,6377
93,1448,1633,6391
94,1344,1541,6242
95,1425,1963,6355
96,1488,1689,6636
97,1269,1607,6416
98,1370,1565,6673
99,1342,1679,6508
