case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,2371891,6132335,5737020
1,1444197,5009753,5436605
2,1068301,5058325,5347808
3,1080678,5277558,5617588
4,1024998,7514736,5579022
5,1105025,5217524,5153745
6,1082461,5759981,5610507
7,1069316,5468177,5755718
8,1009011,5625011,5256797
9,1201832,5449517,5459296
10,1511871,5441173,5375708
11,1115234,5387767,5121756
12,971199,5328791,5928114
13,1136546,5466618,5835189
14,1160996,5957314,5013471
15,1069645,6314402,6536938
16,1368979,5926837,5770963
17,1026108,5588875,5293284
18,1031284,6085118,5488989
19,1004710,6350529,6729395
20,1086228,5099016,5922040
21,1005653,5175521,5197407
22,987495,5275547,5552262
23,1023256,5247725,5736415
24,1087490,5158147,5609077
25,1054053,6086915,6183820
26,1648789,5258441,5183351
27,1077721,5226674,5753016
28,1075373,5092173,5466488
29,1060894,5561800,5021817
30,1062082,5487411,5208435
31,1034041,6633526,6010492
32,1243486,5457277,5577160
33,1234376,5504356,5197157
34,1015673,6118105,5288653
35,969548,5467572,5365763
36,977275,5250840,5382570
37,1006691,5487622,5502242
38,1083341,5239645,5064719
39,971905,5028992,5031072
40,1003585,5574025,5039004
41,1001935,5321195,5065732
42,969705,5778953,5263899
43,1021996,5093039,5786737
44,1084540,5276394,5415634
45,1101733,5260942,5378921
46,1132674,5219769,5525547
47,1045313,5404214,5128612
48,1007525,5433830,6238513
49,1261321,5234171,5117092
50,1290884,4963289,5281860
51,1088812,5465913,6541882
52,1090588,5329771,4986156
53,1003351,5113411,5611487
54,1011068,5315055,5124090
55,1176578,6114462,5425126
56,1064454,5408239,5723670
57,1089534,5192316,5145741
58,975246,5403350,5059338
59,1116934,5519581,5242071
60,1055276,5680083,5280862
61,1022985,5403250,5236110
62,1072260,6195783,5307667
63,1022453,5142822,5296541
64,1074677,5470437,5491431
65,979087,5396538,5757500
66,1090585,5094463,5458046
67,1115243,5221621,5652076
68,1012909,5284398,5761162
69,1035520,5510104,5054474
70,1049960,5418483,5031391
71,1166779,5259466,5436700
72,1049398,5622385,5344991
73,1289215,5327782,5163632
74,1003324,5384042,5282530
75,1055647,5656659,5632237
76,1410245,5159455,5447586
77,1153424,5530655,5424211
78,1103033,5431720,4993331
79,1010478,5114082,5114897
80,1235939,5355217,5391275
81,1241386,5533824,5310366
82,1075717,5497001,5173758
83,1236870,5152503,6547870
84,1083301,5907467,5427337
85,1024877,5275721,5786828
86,971684,5187044,5009731
87,1063874,5403574,4982746
88,971232,5717035,4989629
89,975715,5442733,5309223
90,1044265,5386350,5217261
91,1034301,5238305,5208289
92,1068346,5105998,5442900
93,1039800,5528806,5332402
94,1235325,5478444,5293484
95,1099107,5255465,5508017
96,1096115,5312288,5177217
97,1040991,5677444,5309896
98,1140920,5653246,5237050
99,1294091,5415105,5254531
