case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,291903,315672,401726
1,1029090,555037,441974
2,564357,718242,707562
3,418702,644194,800820
4,806471,299231,672431
5,252760,346592,491172
6,250126,366997,350065
7,288014,359048,350393
8,281776,366059,448083
9,253895,702315,405315
10,245884,361462,425603
11,232705,324376,416790
12,268848,343057,391805
13,306137,352148,418587
14,287989,347386,413091
15,276521,330974,394681
16,335230,394134,394062
17,262949,300989,423208
18,270909,417274,368582
19,275754,331698,368306
20,339825,330399,580633
21,269230,377447,384855
22,233823,351490,464600
23,314709,349650,403524
24,252527,364511,397340
25,302493,364921,389950
26,283837,480975,455090
27,344216,331359,365259
28,255430,440822,450984
29,632107,365094,419160
30,265387,420052,431752
31,232830,422274,432373
32,232456,329291,405086
33,293836,329981,435905
34,271905,378925,348424
35,232891,357378,444122
36,308708,342538,437613
37,281301,411077,400849
38,233650,500975,368807
39,286655,293618,419172
40,232405,293429,467075
41,346981,331099,362564
42,261752,339420,438254
43,276250,369353,454507
44,259175,338357,395014
45,249026,338823,430044
46,274908,489613,360793
47,257677,396813,403553
48,255681,356406,418781
49,286485,384527,362243
50,255522,307109,419192
51,421992,362435,365104
52,330184,323804,439328
53,291746,379108,399006
54,300167,315609,391704
55,264341,382796,425666
56,310083,362722,385321
57,286738,368247,442643
58,305779,380592,490914
59,275655,351918,366285
60,274987,404387,436493
61,465342,509804,351150
62,313928,328252,730385
63,234001,335334,461217
64,257947,386649,508506
65,274706,398870,427457
66,288150,309024,418559
67,255643,390533,429257
68,276393,409633,389665
69,255061,371308,473231
70,256600,384986,365815
71,270816,352257,465058
72,288076,400505,425160
73,245565,337952,442742
74,262526,368351,400353
75,272799,318734,352004
76,319177,339160,435111
77,269824,392838,395061
78,284405,366784,395256
79,290311,355732,635985
80,294076,334157,497030
81,275178,349632,400953
82,276489,309031,396095
83,290570,356348,516645
84,292918,391373,392682
85,305678,338111,418875
86,292923,418435,391564
87,250869,337368,388717
88,330942,311730,418217
89,289071,344536,423907
90,314205,377788,494638
91,283032,347462,520000
92,296953,334311,457592
93,319641,362750,426101
94,307725,357343,439024
95,273626,395382,417476
96,276104,396428,491495
97,309589,363012,455888
98,277567,338994,427527
99,326854,475463,452051
