 ,OH6416, OH6416, OH6416, OH6432, OH6432, OH6432, OH6464, OH6464, OH6464, OH6416FFT, OH6416FFT, OH6416FFT, OH6432FFT, OH6432FFT, OH6432FFT, OH6464FFT, OH6464FFT, OH6464FFT, ntru-hps2048509, ntru-hps2048509, ntru-hps2048509, ntru-hps2048677, ntru-hps2048677, ntru-hps2048677, ntru-hps4096821, ntru-hps4096821, ntru-hps4096821, ntru-hrss701, ntru-hrss701, ntru-hrss701, ntrulpr653, ntrulpr653, ntrulpr653, ntrulpr761, ntrulpr761, ntrulpr761, ntrulpr857, ntrulpr857, ntrulpr857, sntrup653, sntrup653, sntrup653, sntrup761, sntrup761, sntrup761, sntrup857, sntrup857, sntrup857, FrodoKEM-640, FrodoKEM-640, FrodoKEM-640, FrodoKEM-976, FrodoKEM-976, FrodoKEM-976, FrodoKEM-1344, FrodoKEM-1344, FrodoKEM-1344, kyber512, kyber512, kyber512, kyber768, kyber768, kyber768, kyber1024, kyber1024, kyber1024, BabyBear, BabyBear, BabyBear, MamaBear, MamaBear, MamaBear, PapaBear, PapaBear, PapaBear
case No., KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns), KeyGen(ns), Encrypt(ns), Decrypt(ns)
9,447,862,3344,2806,3324,12006,9971,9657,19362,39023,39539,318849,54896,58217,228085,194676,192427,387899,42277795,924793,2361624,73192566,1573609,3859922,109650610,2152764,5565595,79529262,1510421,4319326,7654084,14364659,21408043,10371306,19074261,28501242,13955855,25482266,37631214,69300601,7569092,21714635,94592474,10272489,29942420,117368642,13239916,37360113,778533,3206755,3089705,1664000,6750963,7064948,2783677,71902557,69191563,183930,255151,321281,298481,378820,454233,453603,551844,650079,637817,876158,1808787,1389387,1637697,3478210,2363542,2652963,5577918
10,480,882,3633,2874,11105,12951,9763,9620,19209,39196,39681,319723,54894,57702,226305,195024,195146,416061,41753359,866070,2306954,73904892,1568400,3872577,108938638,2117851,5796083,79154166,1437473,4844485,8266914,15188755,21103835,10378877,19337291,29269892,13491311,25212538,37655687,69072423,7564407,21571748,95469096,10621048,29699835,117676510,13120369,37644946,781537,3208494,3089633,1639351,6985256,6790645,2902846,69091887,69867142,183323,256107,321293,303814,359012,439939,553860,540405,655869,655936,859618,1832897,1328838,1712022,3491150,2382893,2773966,5624882
11,522,993,3384,3081,3730,13300,9870,9625,19227,39239,41862,321762,56349,56463,226620,237379,202530,389955,42656566,927850,2317860,73286948,1601368,4039137,109036509,2257217,5653671,79507845,1577240,4175870,7585178,14061464,21541809,10157054,19284080,28925368,13333926,24872196,37876413,69298602,7900150,21656564,96612757,10483773,30569149,118057616,12938384,37763910,758664,3157046,3058275,1673538,7002107,6912361,3145513,70367366,68395900,183348,256922,319425,290912,373916,460099,454924,552585,650269,639655,839987,1859217,1354438,1726789,3932611,2413270,2819631,5568781
12,460,904,3265,3062,3687,13072,9896,9780,19188,39229,39516,316496,56473,56817,226310,195148,193989,397832,41967520,891740,2414033,73006820,1589582,3790765,108689999,2222331,5806454,79410179,1461507,4181749,7762583,15379034,22086081,10248258,19465351,29076565,13606559,24884193,38236418,68734111,7712502,21744420,100319202,11487926,31197458,117955805,13174957,37199967,768559,3319095,3284943,1596666,7058225,7045153,2872324,70806052,70589098,183407,267305,320080,291031,394484,440968,488924,525916,615765,735764,980567,1823133,1580471,1950854,3614893,2362066,2577086,6972640
13,423,901,3277,3043,3604,13199,9797,8450,16802,39089,41807,316449,57955,56338,226198,206208,209314,408879,42521650,1028934,2354129,73299640,1530708,4007403,110900370,2282712,5779088,79580262,1490710,4288105,7801970,17179085,21189875,10296134,19212579,29200925,13261733,25468238,36438331,69006020,7809131,21752971,102837128,10486453,31203588,117475494,13400897,37570119,1060354,3318875,3281843,1631006,7242397,6700493,3172815,68042699,67280758,183711,255804,320219,290745,379334,473497,430832,567704,678058,663888,874809,1860749,1393228,1724012,3411323,2433973,2757047,5442450
14,509,980,3479,3070,3631,13185,8614,16940,16068,39718,39666,317266,56334,56294,231889,217937,192533,386321,41886054,932619,2288413,73833383,1552828,3802058,108803981,2261227,5736441,79215186,1520470,4201209,7772900,14505283,21659968,10574587,19514205,28778118,13023497,25193631,37398249,68524700,7792457,21602253,98683425,10702445,31065401,117603589,13100082,37417994,809720,3322380,3243930,1726978,6830351,6921453,2814595,67687367,67632998,183081,264057,319457,300087,380399,456874,486190,616204,649839,687331,882474,1829330,1436275,1784008,3529334,3021734,2762831,5728170
15,476,909,3300,3083,3653,13245,8198,8436,16602,41470,39704,254396,56876,56823,226525,195301,188150,247115,41944041,879293,2836245,74126455,1500156,4117054,108794953,2139093,5769567,79539740,1500383,4242244,7606756,14122497,21576385,10360911,19488033,30819915,13288085,32877032,39647111,68458143,7877487,21630302,103393136,15923088,32469982,117930117,13181360,37622235,831274,3459223,3229170,1560780,6809499,6683466,2810401,67948623,67135532,183473,264251,326941,299572,380427,457196,454988,556207,672982,675020,886601,1765247,1440221,1683898,4138957,2310149,2615182,5684280
16,448,907,3309,3068,3627,13217,8314,8078,21934,25691,25974,239987,56313,56274,226201,127565,117835,235442,42037760,916986,2320983,73572153,1529528,3794458,108512612,2240832,5772251,78871254,1522178,4335942,7691384,14351953,21697842,10039871,19439533,28888307,13217396,25625942,38368242,68557535,7888649,21648816,105357857,10721598,32138554,117898740,13372928,37702458,796116,4016194,3385137,1570613,6726673,6760073,2979244,68069106,68006683,183424,262625,294729,299029,378678,455293,451885,524938,631423,656073,857255,1768720,1819672,1831593,3553646,2362838,2696356,5504063
17,425,906,3649,3087,3604,13207,8635,8119,16864,25779,26008,268776,56347,56379,227471,118856,118422,237169,42301196,903696,2169597,73437658,1528486,3926496,108869683,2304494,5766618,79549905,1501265,4309058,7856002,14326825,21355003,10391547,19683015,29123333,13529858,25226709,39855959,68493763,7591432,21651600,106117116,11820931,31772787,118396778,12982038,37545033,844245,3522678,3273177,1577367,6924059,6806709,2833855,68068236,67183490,168420,234557,292880,283592,358570,433013,432386,524749,646109,637997,834646,1770523,1535856,1854770,3504920,2472460,2812911,5546721
18,503,983,3410,3081,3686,13194,17393,9664,19056,22335,24647,216466,56204,56798,226258,119042,117586,235984,43048623,877376,2202429,74321529,1573609,3868655,108403615,2229046,5757452,79448630,1500456,4171716,7421261,14147953,21784351,10138896,19383011,29205322,13203728,25617885,40533798,100012842,7576805,21934445,101437610,11938892,31143653,117461850,13220720,37158624,826497,3068766,3118105,1596201,7067891,7008099,2878159,66941910,68025586,168421,234759,294271,283015,359719,453706,504587,539921,632280,684217,859342,1893769,1398984,1743836,3469396,2311872,2587628,5888950
