case No.,KeyGen(ns),Encrypt(ns),Decrypt(ns)
0,101067912,13430728,34404768
1,102165894,13932143,37088858
2,100534864,12726616,33068900
3,100778081,12186422,34723367
4,100836266,13356848,34668871
5,101318161,13208989,33375780
6,99765016,12746139,33311540
7,100223375,12667978,32436760
8,105313385,13486459,33797945
9,99280340,13087312,33994774
10,101374289,14053058,33943401
11,97582726,12622179,33128437
12,100148133,12720815,35125416
13,100400210,12668555,34577459
14,103853039,13554926,32538674
15,100178613,12706107,34416560
16,103184366,12532964,35636191
17,100957872,12324187,34532250
18,99098523,12672079,32224090
19,102099707,13051321,33382459
20,102725721,13052581,34082058
21,100316597,12163510,34154978
22,97230734,13499512,32747720
23,96099865,14077559,32924671
24,103081962,11966542,32875571
25,97939545,12932093,32758812
26,101864409,12947722,32357411
27,101095279,13440459,33516394
28,102035944,12472677,34189735
29,99141770,13925533,33950019
30,99281378,12591012,32140231
31,96905438,12553208,33050847
32,97943397,12667325,37125869
33,97494398,12360497,35018941
34,100697739,12901952,32265187
35,99135024,12629122,32366064
36,100066735,12888194,34101726
37,99911546,12672074,35298656
38,99604519,13419892,32931162
39,100404363,12928980,31613678
40,101961807,12859799,34581366
41,100963063,12548477,35889424
42,100022956,12511836,33308376
43,103259502,13107349,32781513
44,104312362,12584630,33644135
45,99635168,12413045,33689685
46,102619251,12948718,33120574
47,101201223,13228168,34755041
48,101774557,21662718,34201565
49,100528453,12717190,34328503
50,101616860,12934619,34358963
51,100166456,13079717,32671673
52,100613077,12144311,33523097
53,103158489,12198699,34492085
54,100484583,12373870,33801148
55,99120397,12362368,32471377
56,99632961,12441234,33416301
57,101958750,12578027,33563226
58,97387390,13400821,33619848
59,95242879,14307225,33134664
60,100717592,12270926,34411222
61,101937147,12598953,34525387
62,101688571,13095386,34196816
63,99011502,13144666,32762405
64,101565680,12291089,34084983
65,99869235,12485642,34471748
66,98560203,13558423,33801480
67,101768392,13903545,33382158
68,100084781,12801626,33810974
69,101338031,13364661,33770876
70,101015817,13158927,32463126
71,100869022,13114627,33496766
72,101583203,12482222,33897961
73,102941439,12451434,34374883
74,101327812,12935974,32832083
75,99832810,12285564,36041914
76,99081364,13103729,33160470
77,100644896,12796409,34640632
78,102153218,12458968,32796299
79,99719469,13328630,33691051
80,101596671,13730134,34069835
81,100561210,12397623,33426114
82,100782323,12679894,33346501
83,96158319,13154470,32927472
84,97357487,13204625,34851301
85,99675125,13878156,33247781
86,97104889,13337164,31668797
87,102257562,13316000,34783648
88,100661525,13215533,35202720
89,101477323,12863059,34341063
90,102929726,12697893,32084357
91,99329327,12637928,32867668
92,99385587,13459276,33402879
93,99331554,12042870,36657113
94,100286287,12201003,32587036
95,100175699,12873572,34918377
96,100142580,12884941,33168206
97,98523511,12319352,34017017
98,99784330,13880129,32690220
99,99989006,12494607,31730884
